10級,9級,8級,7級,6級,5級,4級,3級,準2級
百,毎,由,民,暴,幼,侵,婿,詔
町,肉,氷,票,非,並,獣,譲,殉
先,通,湯,典,停,糖,紫,殊,儒
人,前,炭,然,設,宅,項,削,栽
耳,場,真,唱,招,誠,兼,拘,肯
五,矢,拾,産,士,縦,況,憩,薫
学,光,仕,健,航,策,輝,喫,擬
一,近,銀,泣,許,憲,較,貫,且
文,角,開,械,解,危,援,餓,寡
天,引,悪,愛,圧,胃,握,哀,亜
早,妹,油,無,脈,欲,振,請,奨
水,馬,表,標,費,陛,瞬,嘱,循
七,弟,登,伝,提,届,雌,寿,囚
口,組,短,争,絶,担,稿,搾,斎
気,色,深,焼,証,舌,剣,郊,侯
右,姉,終,散,支,縮,狭,鶏,茎
木,考,死,験,鉱,冊,儀,虐,糾
田,兄,区,給,境,源,獲,喚,缶
草,楽,階,害,格,机,煙,怪,稼
正,羽,安,案,囲,異,扱,慰,尉
車,万,有,約,務,翌,浸,斥,彰
校,売,秒,不,備,閉,旬,辱,庶
九,店,等,徒,程,難,執,潤,臭
雨,走,談,倉,祖,探,豪,錯,索
本,食,進,照,象,宣,軒,控,洪
土,思,習,残,史,熟,恐,鯨,渓
足,行,使,固,構,蚕,戯,虚,窮
生,形,苦,挙,均,厳,刈,換,陥
手,活,寒,街,確,揮,鉛,悔,蚊
左,雲,暗,以,移,遺,依,詠,逸
休,明,遊,勇,夢,乱,寝,隻,償
円,買,病,夫,評,片,巡,伸,緒
名,点,動,努,適,乳,芝,遵,愁
二,多,着,巣,素,誕,込,撮,酢
村,心,世,城,賞,専,圏,慌,貢
青,紙,集,氏,志,純,響,倹,蛍
十,高,始,功,興,至,詰,峡,拒
三,計,具,漁,禁,己,甘,敢,患
玉,間,感,各,額,貴,縁,塊,拐
王,園,医,衣,因,域,威,悦,姻
目,鳴,予,要,迷,卵,慎,惜,礁
日,麦,品,付,貧,補,盾,辛,叙
大,電,童,灯,統,認,斜,如,酬
夕,太,注,束,総,段,婚,擦,桟
出,新,整,縄,条,泉,堅,硬,溝
山,寺,住,司,枝,処,驚,賢,慶
金,黄,指,好,講,私,却,脅,享
音,元,君,共,句,呼,汗,緩,堪
立,丸,漢,覚,刊,疑,汚,慨,懐
入,遠,委,位,永,宇,為,閲,韻
